Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta v0 alpha0 beta0 v1 alpha1 beta1 t0 t_t i alphai betai i alphai betai i alphai betai i alphai betai i alphai betai i alphai betai i alphai betai i alphai betai i alphai betai i alphai betai i alphai betai
0.0 43.32260456633833 17235171.095428467 -3494574.7722320557 -12290835.70884633 3619.7620080274464 1921.8346046819242 214.28319204903318 46420982.26246592 790.3226045663383 48612411026.401245 0.24417677822488965 0.9994834999419402 3.32075521768439 -1.0276205274140549 -0.3216872788510208 385.4352612850354 5.889985994730021 6.24151218153071 2787.1387660128685 0.06762287530986458 6.1626181022035516 7952.837280100104 46420982.26246592 0.5397499025985644 -0.41485661708429955 0.07848268022297725 0.973005930000515 0.13550746818467346 -0.0008393941208785782 0.7817760905554696 0.7127992810371788 -0.12790747478297923 0.7133596486917017 1.0904820386096106 -0.6996329033636206 0.6693480159588799 1.1164912243725111 -1.0575754334822016 7.280532559879098e-17 0.0 0.0 6.498881026464608e-17 0.0 0.0 2.8658334484501536e-16 0.0 0.0 8.347588360471224e-17 0.0 0.0 7.591835983383043e-17 0.0 0.0 8.44992629026238e-17 0.0 0.0
0.0 29.61776841372034 -3103707937.584076 10333979333.725098 5825871721.9145975 -4853.655180678852 4600.190260136464 326.9686979264486 58867111.2753973 776.6177684137203 37827384427.89911 0.05842765396000786 0.9994208127251621 4.098212644178458 -1.580373133523516 -1.763751331533707 1775.624978215865 7.696502567850237e-11 0.0 2714.1487378095244 2.513476203691458 6.283185307179586 7454.403785437044 58867111.2753973 0.9999999998750339 0.5969283118357264 0.054661624133835664 0.9999999998239022 1.3505917129490606 0.14550774754302692 0.0 0.0 -8.568000747646637e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3604297809804992e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 83.75151776427742 -73635767.04589844 -34573312.14941406 -69650149.20191383 4312.743438457852 3685.735006320101 -916.2152956501677 79049886.82176618 830.7515177642774 86912916475.09833 0.21477829447380264 0.9999352870971266 2.8050264004172574 -2.420200641258079 0.8307474318463859 999.4513205439589 6.283009064266239 5.803148001617122 4750.2448810597525 6.282778787649045 0.05676480291235764 7673.305721282004 79049886.82176618 1.0 0.9832667147579677 0.07086713418760081 1.0 1.3074060400688716 -0.34931785191740583 0.995215111313419 3.07086976277835 3.126568848834837 1.0 -1.1149050011671637 -0.030611577628026975 0.07514605245151483 -0.14854722922569796 0.07116566007522884 0.0 0.0 0.0 3.4072034315802875e-17 0.0 0.0 6.397596185897498e-16 0.0 0.0 4.4064730616428595e-17 0.0 0.0 0.0 0.0 0.0 7.074054134049354e-17 0.0 0.0
0.0 71.73614795591777 -22460295.972442627 -25265309.751861572 -1463112.0803713799 826.7008140782928 4066.2957324676063 -5436.5791469162305 116868163.71905953 818.7361479559178 96001639523.9715 0.04341491958354633 0.9949044526268597 3.1432545299570034 0.5865892578073417 -3.487864426813661 1654.211400946995 1.1710820377321567 2.5179228567570044 3603.657672462529 2.330424662785084 5.012997306351179 7513.112620467747 116868163.71905953 0.025546666499259997 0.042191016258775936 0.31572098508231694 0.1960642096948619 1.2599876527122753 -0.07757659503352068 0.5665846587518926 1.2541732104461367 -0.004610772848125512 0.7928656890700263 1.1505419606859955 -0.1735136033337006 0.7946798935912273 -0.9996177957400707 -0.24147269500791227 1.6557020701419712e-15 0.0 0.0 1.6147063026906817e-15 0.0 0.0 1.5272261607656265e-15 0.0 0.0 1.7231799336443717e-15 0.0 0.0 1.5762517490216058e-15 0.0 0.0 1.5417839734530959e-15 0.0 0.0
0.0 55.99531377357994 4340579.591827393 -32418529.502059937 -25039467.55491066 -3623.2616752475187 5561.271213220796 598.5941474289613 94779815.92297885 802.9953137735799 76366149708.80026 0.2635672408976524 0.9991061523448679 -0.23481066604964695 2.826640979622412 0.1602797266013789 2563.946076005553 2.2647413235087352 4.065860629933007 6630.249577676511 1.7190817417100104 0.525846553189421 7674.075625928328 94779815.92297885 0.06926852790076882 -1.5235725230132988 0.4410474082821379 0.07272554378873322 -0.11947273445971722 0.3031218790262231 0.5174104304170415 -0.6271363268965678 -0.7873963698657782 0.7978064084717409 0.355749483694218 0.3047759662758378 0.8520137090285581 -1.0555287063145344 0.9230497269452254 1.6506581264376796e-16 0.0 0.0 1.1492399499549005e-15 0.0 0.0 1.8633433487598248e-16 0.0 0.0 2.624606304600673e-16 0.0 0.0 1.9602306939504998e-16 0.0 0.0 8.079406034791966e-16 0.0 0.0
0.0 55.02748312109202 -3862619.0134735107 -646149.993637085 47630681.62895155 464.69327850613263 -5178.882469223925 84.30264587766305 102269232.45043689 802.027483121092 96186894452.18954 0.1121032607672499 0.9999537209295647 -0.19625504536890825 -3.739901011710904 -0.13896086064591562 2515.915304108151 1.9754473903180305 0.41182175841789903 6909.556940173695 1.2392534636411296 3.3172100356188636 7887.10621869689 102269232.45043689 0.9101444047944248 -0.32356166801384423 -0.3229941879633017 0.7967546084947199 -1.7165119154864992 0.0886279001243305 0.3975093475369726 -1.4175939485190938 0.2760481625840438 2.5433873469187044e-12 0.0 0.0 7.336975061355394e-12 0.0 0.0 8.555825494458868e-16 0.0 0.0 1.0120056104192382e-15 0.0 0.0 1.0905038918322692e-15 0.0 0.0 1.2045690046282776e-15 0.0 0.0 9.025124418809537e-16 0.0 0.0 1.091652413528325e-15 0.0 0.0
0.0 73.53540823831634 101653337.67630005 -125282362.02688599 -32649944.516010523 868.4244998403665 -69.80550492727161 817.6339638077145 75289377.88555576 820.5354082383163 34461714794.49747 0.06393769516332387 0.9995461653749694 2.9199164101209756 3.7339723818369137 -2.2953231697712715 1400.5887509074694 3.0392561674649166 6.260164163406566 1823.7815661070335 0.6349526356449922 3.289850142316714 8021.518052615616 75289377.88555576 0.005070951778233842 -0.00032464577781632766 0.00021618193477025601 0.8979812776873182 -1.6333995478924035 -0.21131720430352854 0.9794722840824869 0.2981400931259363 0.02048993381084624 0.9901358585321187 1.1766597034392599 -0.014210318510691192 0.9033747863926308 1.057915072506571 -0.20003771730064487 3.001860695100581e-16 0.0 0.0 1.1510384176091117e-16 0.0 0.0 1.8090178045100065e-16 0.0 0.0 2.942907847821698e-17 0.0 0.0 1.354397836611426e-15 0.0 0.0 5.290297765620085e-17 0.0 0.0
0.0 31.032849271951818 -39892407.34950256 -35507043.824287415 29154378.3612535 8135.0886876187815 418.95424221848225 1331.9287443674416 36590884.9049777 778.0328492719518 32832525556.112946 0.2379566875818385 0.9994575538396675 -1.736188880104251 -1.9297166005453117 5.085167939708654 544.463379592572 6.261958758653496 3.0549596756007347 4237.657747260042 5.973549647813774 5.9104684436695 7901.324601365441 36590884.9049777 0.9889412615008736 -1.3861049501045277 -0.19008045587874778 0.9026566536505698 -1.093480597585205 -0.22499710243344903 0.3708141265393021 0.07947021613323516 -0.43590502284196286 0.3046123186519181 -0.5604664696971838 -0.3018907745987335 0.801201451003429 0.08893606487133766 -0.7814755727872801 9.73684045453528e-18 0.0 0.0 6.014405909770297e-18 0.0 0.0 1.8213212700505496e-17 0.0 0.0 1.0129269049504518e-18 0.0 0.0 4.9685367409978277e-17 0.0 0.0 2.090842055158241e-17 0.0 0.0
0.0 36.886110897158915 -20476666.90283966 -3124045.244781494 -37789552.56606853 4404.612680592072 2333.5513608272286 -3376.662266318533 52425345.69012868 783.8861108971589 39362610265.38226 0.24422439583554545 0.9967386343799328 2.532084502846623 -1.087160349799048 -4.879848680547029 1257.2702599445342 5.321374250197957 0.12012707688634089 4570.839944859545 5.708777844429163 0.2523057747510113 7147.6545738545165 52425345.69012868 0.07766531921221291 2.7748933297728646 2.3461437694637137 0.20791822970620163 2.6488044115672724 2.531891048507519 0.9510027424365132 2.827746673656081 2.5075789663356973 0.7472041796264511 0.30897103681152116 0.8393829801610817 0.7999865770163047 1.5960274720148107 0.25245928644774324 3.6084915179334494e-17 0.0 0.0 2.2681301942028253e-17 0.0 0.0 1.3987428873997815e-16 0.0 0.0 2.0626583980728214e-17 0.0 0.0 2.2116888847707718e-16 0.0 0.0 3.0641844983214135e-17 0.0 0.0
0.0 56.497238444092204 -13457406.097427368 -13233218.953613281 -9043437.82042408 4355.145193842156 3087.921689557391 524.2172072527155 46845440.80290834 803.4972384440922 60140028315.33884 0.1020358985138334 0.9999528970623387 -0.06806720335642202 -2.9265721450674835 5.792772160918853 2235.0429041436546 3.201643434398172 1.0109101493988606 2861.975330440274 6.111027763018346 5.420464969688476 7862.741442692505 46845440.80290834 0.9654665163057957 -2.0803134809011428 0.19619012653092213 0.9956076950572829 -0.8355374315155629 0.08890382052916461 0.9946400041949995 -1.7408408344596937 -0.005470607778957805 0.9657753233758704 -2.044570351325098 0.013256348771275068 0.7910273238868111 -1.7604637480342005 -0.02301277113233373 3.2496377556654784e-16 0.0 0.0 5.1099585268337405e-17 0.0 0.0 3.282258610335283e-17 0.0 0.0 2.869388012313963e-17 0.0 0.0 3.136053537410381e-17 0.0 0.0 7.025838733484875e-17 0.0 0.0
