Label t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.0 70720620.46764052 868.0565162927606 63726790938.689575 0.0308805313683322 1.0 -1.1102230246251565e-16 -1.407504628052035 -1.2073393602217757
0.0 69688272.7743365 861.6375215771836 52976752765.31592 0.019565494745130002 0.999996855607694 -0.48845379994734306 -0.4007008206666334 -1.959681317920187
0.0 74653418.5265318 850.6758650512522 67329434794.37958 0.08800114182452513 1.0 2.886579864025407e-15 -1.7528683903251843 -0.08508978669391709
0.0 74452251.4899091 850.9574753415397 17879078821.929047 0.015114482892768427 0.9999799056826928 0.18526975450751704 -0.1546463024379998 -1.8703583155023182
0.0 73180426.43610513 804.3501582998898 122265139010.97266 0.2563681898986815 1.0 -4.6629367034256575e-15 0.4830287575104545 1.4808773698982485
0.0 72546919.96575293 874.7261790355984 32729024001.907074 0.019436314855531364 0.9876263443905277 -0.7752237227240086 -1.1862034612789978 -1.9172678606825235
0.0 74602593.96655005 859.9928602816187 70573029261.14154 0.15570944477533769 1.0 1.3322676295501878e-15 -0.8300465792031742 -1.4862941114808783
0.0 74222645.21018097 878.3942594662134 39703135104.54477 0.1165343738322873 0.9990294392098199 0.4072025884646593 -0.6552707659347975 -1.9431042469671451
0.0 45621488.61118798 822.2859146584346 121777188264.25089 0.2908120593591311 1.0 1.1102230246251565e-16 -0.46096770431850287 -1.4108339176257978
0.0 45487628.222919695 823.1630249913842 13432218468.119537 0.3604502973505963 0.9998750051749336 -1.0464370804770546 -0.3355758654151919 -0.21232368818036695
0.0 47097653.73570235 805.565996573243 126116593945.43488 0.2917671906756829 1.0 -2.220446049250313e-16 -0.8949585229484107 -0.6500502650954916
0.0 47750591.09224369 815.6562503529038 19397585531.1167 0.23906732581316353 0.9975778978493889 -0.83629260320661 1.9403373644964361 -2.1522165930167074
0.0 69374493.68592034 831.7030477348427 62669963447.822205 0.025446203487774634 1.0 0.0 -0.9315650652275931 -1.9068608674010616
0.0 68854708.14502965 854.8693489753351 51380502138.394196 0.03666430381590963 0.9996834148428648 -0.00886142532487344 -0.8096498153078246 -2.099608036654083
0.0 73899289.08950123 854.5637899849104 69903112258.28815 0.14510862846080047 1.0 4.440892098500626e-16 -0.38702959473241816 -2.08319978781208
0.0 73486172.3355835 844.4599068331785 34325549789.845276 0.11285528777076392 0.9999616016808304 -0.3234045335878979 -0.08076032572264863 -1.9823083177834528
0.0 33445438.65093101 779.9462731817543 68239067903.41669 0.07837692898948222 1.0 0.0 -0.5110574841755069 -2.1200727581477814
0.0 35122697.49574118 787.4019293937639 18345849758.507416 0.1578409859100054 0.9999374208683949 0.37165425178825284 -6.061808702287069 -2.7300372578007135
0.0 75398249.77347267 834.3398688673765 68858441976.2651 0.0685646182243927 1.0 1.6653345369377348e-16 -1.7474925358014417 -0.23269885196778795
1.0 72909852.96951094 833.8290613572593 16457440874.776184 0.023356856057451747 0.9999834173113921 -1.3018770340790633 1.2561497456451511 -2.4659349934196744
0.0 76678324.12849274 859.6893611560282 73792148355.45862 0.149445718924394 1.0 5.773159728050814e-15 -1.3082408964537586 -0.8945567961997877
0.0 76109109.12634256 865.810045528448 44200780127.16858 0.09848357050586598 0.9992837857926461 -5.716014215434116 -0.9801415422030596 -1.8422759428786468
0.0 76857748.76568852 871.4856528436587 75982044645.46988 0.1767603521299822 1.0 1.9984014443252818e-15 -0.3732294498177622 -1.9712258455639127
0.0 76283903.72425511 871.6980877578892 37574964594.325714 0.10298701871390493 0.9993553348601215 0.22493618077814692 -0.6997323647692825 -1.874141822494749
0.0 72382215.30887932 849.4059967298475 63041973068.13083 0.03660410102876459 1.0 0.0 -1.7816138906433832 -0.20240821768747685
0.0 71318907.03443192 858.5965157425576 23838916344.776672 0.004287674391679097 0.9998583004121147 -0.8101064890667188 0.787207454813865 -1.9974968752563382
