Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz Datatype
0.000000000000000000e+00 -4.864696706089080048e+10 3.290370533647963867e+11 3.416687175208315849e+09 -5.158857140261527093e+04 -4.354514072770406528e+03 -3.104213843343309804e+02 7.543768729161298275e+07 8.444241925930093657e+02 3.425207063992637939e+11 1.145646319828794403e+11 -3.477603399735569477e+09 -1.699022103311117826e+04 5.185492269452188339e+04 -9.088000039803796426e+01 0.000000000000000000e+00
0.000000000000000000e+00 1.288283227678770905e+11 -2.595378489437374268e+11 2.156957828308815002e+09 3.639785268711848767e+04 2.721247044635832935e+04 -1.642823643484362037e+02 2.128543852653927729e+07 7.688769667799194849e+02 7.701880722572120667e+10 -1.463709839639376221e+11 -6.102950545885204315e+09 2.571874846256993987e+04 3.677091169343439105e+02 -3.117742989399692306e+03 0.000000000000000000e+00
0.000000000000000000e+00 6.923039537661926270e+10 1.754858400988901367e+11 -4.896793633282721710e+10 -2.383837346974363027e+04 -2.909784348328212218e+03 -1.140402883465092827e+03 3.917035798301412165e+07 8.046430639873589143e+02 -1.246061495258746948e+11 4.381174323782168579e+10 7.879720879309019089e+09 1.335333519254665043e+04 -7.322040701944543798e+03 5.012524903311312301e+03 0.000000000000000000e+00
0.000000000000000000e+00 2.897409739040617676e+11 -3.725365479441754150e+10 -1.357089214515319633e+10 -2.242312545700153805e+03 6.085006651849744230e+04 -7.438778274068879455e+02 5.879822598220210522e+07 8.454021041665638450e+02 1.311609307644419250e+11 -1.100012535082373047e+11 -5.056319158596831322e+09 -6.357959435829143331e+02 2.837969895800849918e+04 -2.910546366310486064e+03 0.000000000000000000e+00
0.000000000000000000e+00 1.255633636519278870e+11 -2.523673536277814331e+11 -1.086212924163248634e+10 3.282298248329518538e+04 2.919239449581952067e+04 7.848752554704669819e+02 6.128666665462667495e+07 8.057391672691676376e+02 5.792837414522259521e+10 2.041778620989234619e+11 6.904273831365470886e+09 -1.718983656218584656e+04 2.288756385179562494e+04 -3.222525558691489778e+02 0.000000000000000000e+00
0.000000000000000000e+00 2.644985361441818237e+10 2.174501532348715820e+11 -7.770126543477207947e+10 -1.315060948300388554e+04 -1.728192528483645947e+04 1.743990828361441118e+03 3.775301721551202238e+07 7.931761875287654675e+02 -3.900026782754287720e+10 1.720034865966719360e+11 8.000955207795938492e+09 -1.737942171770443019e+04 1.088193733610565687e+04 6.099182162964595591e+03 0.000000000000000000e+00
0.000000000000000000e+00 -4.202579650158292236e+11 -7.432380051019413757e+10 -7.586461105285821915e+09 6.947800951744830854e+03 -4.508419365987430501e+04 -2.741417776403994139e+03 4.015695742753928900e+07 8.031012010236406695e+02 2.812443186676490479e+11 -2.156178362866441650e+11 -6.683566753026512146e+09 3.439410542353201890e+04 4.674449711047182063e+04 3.185873035121548128e+03 0.000000000000000000e+00
0.000000000000000000e+00 -3.295779449973024292e+11 2.818008343223629150e+11 6.807015057709704590e+10 -2.794284179638440401e+04 -2.881487036111595808e+04 -4.664911901850817230e+03 2.337500385445252433e+07 7.791451836989552930e+02 -4.936891496239718628e+10 -1.964882631934239502e+11 1.597882403913064241e+09 3.059540523168673826e+04 8.693749696462728025e+03 -2.998953515038185742e+03 0.000000000000000000e+00
0.000000000000000000e+00 7.844954735592399597e+10 2.845907892840289307e+11 6.546301203903285217e+10 -3.554374225293402560e+04 5.399241288103621628e+02 4.546801489692469659e+03 5.711470167376843840e+07 8.112676028844479106e+02 -3.858423927554798584e+11 1.009701882410291748e+11 7.052405906170755386e+09 -9.344798938112080577e+03 -4.926253065000671631e+04 -7.142716258709522663e+03 0.000000000000000000e+00
0.000000000000000000e+00 1.193198572300559082e+11 2.445091239160469360e+11 3.025349784623598576e+09 -3.936542435628802923e+04 2.968279292712375900e+04 2.498496632905104889e+03 4.950566953120240569e+07 8.129712050162128207e+02 -1.068781602599350281e+11 -5.628738044594766235e+10 -2.162524003816979885e+09 -7.467532831579119375e+03 -1.036153993677013932e+04 -1.537890386020629649e+03 0.000000000000000000e+00
