Label Ep Ev t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.000000000000000000e+00 4.836810146390685405e-01 7.545221061982951838e-01 2.783036872930135242e-01 2.711028648371689442e-01 8.879400898534584030e-01 5.046395626630566511e-01 8.716273005406394159e-03 3.954625144921541935e-01 8.286426725428215345e-01 6.567633753434640731e-01
0.000000000000000000e+00 5.849516307254142289e-01 6.740660578521426860e-01 1.276333155861112956e-01 1.711389199467898692e-01 5.748946372262515592e-01 2.431730658790439148e-01 3.592503757384140073e-01 6.703050734041420267e-01 6.655425154222781581e-01 3.801971907558467922e-01
0.000000000000000000e+00 5.847315369219793224e-01 7.337568780206311647e-01 6.007934294352090809e-01 3.682118593152985397e-01 8.608677877175381354e-01 6.336770546787906522e-01 5.132174250928916992e-01 4.615099401294221471e-01 8.459536075779883202e-01 1.087702264825368137e-01
0.000000000000000000e+00 1.304723693294199127e-01 2.324511122575089461e-01 7.296687171980604791e-01 3.650938329686876926e-01 1.113610498345113387e-01 2.055597596971730501e-01 6.926905872096309480e-01 7.776452062258050191e-01 1.569203985657104949e-01 4.224923149603646566e-01
0.000000000000000000e+00 3.166498689198259131e-05 7.569233321111758228e-02 8.363042557209348082e-01 4.598267569137295396e-01 1.425542919549686038e-01 5.438076505458400156e-01 6.947856253211497357e-01 3.707648545338448898e-01 2.155267826165892520e-01 4.951965891112963813e-01
0.000000000000000000e+00 9.283614182237724378e-06 1.046538968627421101e-01 7.404437431386960977e-01 5.728191836395186698e-01 1.313422281330071106e-01 1.640294089751992423e-01 5.391574244718961850e-01 7.805117128617671263e-01 1.578895416485895931e-01 7.382709672099914133e-01
0.000000000000000000e+00 4.687416918759747531e-01 4.746407350321054652e-01 4.148921673244482800e-01 2.622795909545976301e-01 3.119936908467572656e-01 4.671651710278975633e-01 9.919872543714689517e-01 6.524523561164643493e-01 3.716573809556904529e-01 6.624523217697338984e-01
0.000000000000000000e+00 5.226690445046939804e-01 7.444956977625531991e-01 1.200044747234881859e-01 1.242550388199274991e-01 4.786446379758363956e-01 1.954445521657253715e-01 5.153951240427089298e-01 7.276081247036465527e-01 5.802054793194697524e-01 5.575587213381324458e-01
0.000000000000000000e+00 5.895141780102393092e-01 5.782267677753576418e-01 6.545092220961219454e-01 4.341337201722144101e-01 4.606148564972767367e-03 5.699061703208029295e-01 9.200256533492185973e-01 4.324502213478020329e-01 2.228522787502812408e-02 8.223333210367778090e-01
0.000000000000000000e+00 4.689360092283840764e-01 7.615663126137343086e-01 3.565053643912600712e-01 3.156000197660455697e-01 9.723094826072109509e-01 5.262089072885873797e-01 5.962411593967370527e-02 4.056359991768686557e-01 9.200021885520370812e-01 6.234213402222574807e-01
0.000000000000000000e+00 2.725986590873954879e-05 1.373025763479156225e-01 3.410987943500383701e-01 1.779395931671610143e-01 5.797523879808205161e-01 7.421502735404705842e-01 3.421911129623165237e-01 3.169410678088452338e-01 4.370073927482134302e-01 5.407717115879828729e-01
0.000000000000000000e+00 6.698889206932006068e-01 6.910036683990791184e-01 8.010459535064775594e-01 5.163870521029378935e-01 4.791685261295600684e-01 6.042312358706730668e-01 8.207187378671055855e-01 5.215457774023215531e-01 4.410829748707628117e-01 6.517267735688628827e-01
