Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.0 61727078989.97781 -90394337001.94067 7153200599.442559 14131.182651685882 -1738.3881453272006 -113.178690696162 66611380.78940497 807.9192480023308 -262957191817.46457 -275433688557.5812 208202822.95117044 38668.66526129769 -37783.24058807685 629.9624336929728
0.0 97933707306.17374 29548165289.710373 3489267386.365989 13170.939885676067 10368.961911919805 115.91705493116024 73376679.30840154 844.2676638558727 -181327651027.84558 -276454965263.0223 -3450911185.600292 38735.3109395323 -28576.042272266644 -794.669948034053
0.0 -98419008869.65863 16925100795.926804 9597285643.712593 -12084.322814516445 2108.182118407509 -177.4431872363897 77409647.50900802 892.6489441493404 336829719974.05347 -60029601193.465836 -4832746941.914155 9536.52338903094 50802.35119723228 -2077.188089488273
0.0 -93999917437.17499 28436398130.774864 4559678185.749039 -11642.555433842934 6685.442305420875 -914.1523472438234 76371579.90757978 858.8922840147983 285818131052.1692 -104259220381.59917 -4659543952.565166 17673.509099472125 42400.68950903455 -934.4439391524193
0.0 -238339678825.50616 86951363961.10971 7150363707.382463 -12983.974439740547 2415.0021508186546 -133.03831465449525 45018525.31731629 803.6501713605793 -145949480301.05212 -239202573528.0236 -4611109596.904645 31849.661138857966 -21934.641143791887 -563.5251604077979
0.0 -130445117509.73819 156277348179.8083 -469306199.5561712 -7764.537647280395 8802.95065680665 185.16070476057206 40874683.64967639 799.310400878339 -279128122680.69226 -168566947622.36722 -780322433.5344796 20522.445128978023 -38933.187187799216 -134.8616159990484
0.0 -344480201834.797 -5864650918.58609 -11668722852.69689 -18200.58894722205 -18018.06612703897 205.2501754208411 72254119.18116958 872.9811915243325 -59904405409.13551 303026683549.79193 2964806326.429843 -39221.34389123099 -10220.506126738323 -412.5146182398119
0.0 -314836483549.28955 109171363090.41974 -2754228304.955279 -23190.021763679688 -7433.65203735573 250.4525063301109 69754325.72561568 840.3781657216211 48412563636.76869 280861727361.29456 -136721914.19421095 -38071.41235708249 4248.202073387969 14.8666931527673
0.0 66679248517.15698 -5191612997.079773 -9223773056.697226 9166.546571058385 6054.390683867121 326.7482556038004 68469409.90458202 852.4010203006284 -135704227958.12845 -321214052482.9463 -3856655079.9833994 46757.29458677074 -22048.99725103983 -1366.4658689203216
0.0 -61488680858.74518 32708047051.211113 6136385208.6703205 -3182.6053757941936 6592.090050927316 557.7676892929508 72708598.11165385 834.9728680620633 302661714277.1052 -155819978738.12396 -5951675613.171112 24532.609585186452 46084.91013456971 -2650.0850046410987
