Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.0 125.24311667464804 8311441319.156662 56480180979.50693 2764524962.262959 9500.080131683073 -808.863726998853 638.2039977532604 60505266.58890844 872.243116674648 70280017119.75302 46719297328.73886 791089893.7133062 13444.765466012957 4827.862078532826 636.9492585358779
0.0 70.00334865154969 -2272172.0697021484 3865417.514099121 -330071.76936626434 -522.1279097044653 3729.763449331531 3676.539005573296 43022961.68897255 817.0033486515497 -89407447508.87595 65697925290.92306 7362662384.02216 -6990.826094849735 12184.534182368468 -2779.245764972812
0.0 56.78058347518413 -313673.5779724121 61515.68617248535 -26909.471377968788 2912.3216509504673 -843.0735334015881 -984.4654799208587 30092975.587963413 803.7805834751841 56402930072.98724 -5679076673.494583 -5853640772.762031 2468.40576119788 -5722.200873666399 346.61420642646584
0.0 76.90526701495287 11185148288.897614 8653628131.73909 -985519030.9892368 3995.083269442828 3269.129438219661 825.1381791882826 53846112.011962205 823.9052670149529 -147103401688.4328 -186674432859.9569 4324152366.08288 32723.18362900967 -2477.2293655785143 -652.59882287907
0.0 91.57025523604443 -25540610759.975067 -5382690254.796509 1148652205.8528652 -4300.8735420275025 -2488.0466945001754 -612.9607852379893 65289008.95017082 838.5702552360444 27000917691.154877 179800108499.23688 -1391577996.465203 -25188.69904477434 -9873.04176356228 795.08532599048
0.0 55.09068940785244 -109939862804.71841 143410291020.8399 7597324639.024933 -19923.42292375048 -3523.4281517815816 -314.7388192497417 38957211.27576614 802.0906894078524 -91943219015.77402 -351403284894.1472 -3877201019.940422 51576.92244045404 -9006.892896379064 -443.16001174667
0.0 100.6436124985255 593054.2335205078 -29006788.73892212 7657029.96953392 -2298.8210000893523 6137.8793341813025 764.8656148874725 77740215.88407676 847.6436124985255 -60364263791.29532 -172575250455.1646 -6191929772.582335 14474.977589286525 -11769.798471535647 602.6911720089452
0.0 48.96793220170457 694719.2314453125 601287.2659301758 -501369.7154120207 4242.398902615954 -3210.5854667196472 -1046.2136613296984 35769550.74591405 795.9679322017046 424240259.0495148 89247026777.7873 2216752283.2087073 4781.16340502301 -9607.626092004994 793.5922026074315
0.0 131.75941495755592 -336359.0902633667 -750191.7241516113 -1238876.9779806137 -462.5972987160894 -2883.413713464174 -341.3818928177776 68584105.61951016 878.7594149575559 -91409354339.86267 188197141760.27594 3358962713.5682983 -15878.01112788985 -24899.229391979163 450.80583922923915
0.0 117.51519363743796 40445031.5043869 -75718387.40567017 -187779784.4681878 1937.870540508804 2262.6702038337717 157.62751458524747 53548407.47345791 864.515193637438 -281375333370.82367 266495324747.9799 7733706886.177664 -30603.659424845988 -38761.75433759802 1925.5651534778735
0.0 48.63714386836307 -259287699984.29092 -110363766923.3482 4066510778.607425 32647.293179272252 -43794.90467884073 -410.59988402326826 29607499.880655635 795.6371438683631 165123293786.6612 -171334481116.84125 -5039302070.10814 16313.766908380985 30066.12376858678 -461.735990626162
0.0 66.2996693114992 -44349244.99609375 -34120864.88519287 -22166557.69265747 680.2272621163465 5405.101411430065 -1110.760096188905 33125949.767547596 813.2996693114992 -219534125729.41022 261305695564.34064 7775033321.322405 -40763.41793786223 -15370.768684462386 3542.707974026044
0.0 58.05762939894316 11399670148.802155 23887824556.660217 412633660.1111545 1955.5678566189636 1404.965911182071 792.4200793788923 38064665.91255853 805.0576293989432 -125727915770.47185 195180559641.58893 7565014846.333413 -28993.200996881165 1237.798212228412 -209.41926745443888
0.0 136.4319306779272 -968568.9379730225 2200998.5795898438 647913.4271345139 -2249.871099370652 1634.4946909276587 -1282.3613645858977 74289634.40234968 883.4319306779272 249664777075.35522 -196682116945.4444 -6086620234.588593 31293.02447610463 35754.37965891996 1461.164376560626
0.0 130.88599246682895 -6485670.434387207 6037056.076553345 -1875256.7713444233 10184.309190406195 -14776.30778111889 -1136.9921195030934 77269538.07474501 877.885992466829 315630631120.832 31321338659.047653 -2398603547.7894936 7957.498597968654 41245.5987852344 677.2085265448486
0.0 79.54518142517975 1569451.8770141602 178758.49127197266 3261093.178896904 991.4502322541666 10357.597621561437 -1919.5566502717784 60124664.38594859 826.5451814251797 -236195786589.53345 -292116950222.6002 921666120.1286347 45640.42089333378 -22878.26555445787 -838.1175328214624
