Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.0 118012805596.79573 172864147763.92303 4624409044.679593 -11361.782290499512 27441.7012867375 948.1600667202107 60829634.19793191 826.8867096773871 94058092180.67911 -248769729707.6291 -3282865902.6640863 31516.94617296243 25714.155665556784 -674.9026629126259
0.0 -4543691.642089844 -1455161.192085266 7932626.536086082 1987.6064900527272 2198.8028912206137 257.7147234112589 60701235.900467336 878.3794425321553 -304522750142.5935 -213400417411.30603 3659680713.696417 34994.28707620388 -35861.60464491969 -497.18095291690366
0.0 -6270784180.18898 -329558090881.25916 -1234956516.5686235 48639.01848882944 9497.842745447184 -786.3737798146105 17700219.482058976 772.9043934702445 -14607855043.05214 -217593160321.92377 -6575017460.032668 30899.992804759604 -11228.17465354023 -146.4455740198139
0.0 170683391022.2274 70336318396.64142 -6091517630.536779 -18867.21861799662 21640.035048541664 251.22139370297762 18476094.70202089 782.1719661100044 303342215598.92444 124508125835.17433 -683359228.1057051 -9917.18763231851 48945.48254439057 797.2106223047188
0.0 68497718336.93826 39987938849.154755 -10801497524.838953 -9450.798430192683 3518.47793825217 1255.4684218215161 75806334.66580448 841.8276661881027 -195155536487.90942 29874563046.60614 2484565557.2403092 -15980.261312192222 -16624.921924080336 -718.6836967216351
0.0 -1655563.211654663 4042309.310409546 1545636.7560954094 631.1369201439084 1840.7923270300162 -490.11148642311525 74823818.43095927 872.5328660454671 -238716394022.16025 3708232845.050934 1725626308.074213 -12499.663530963328 -26591.635972698914 -740.94283079447
0.0 25898853291.343735 76851030469.69925 2222473792.117044 3195.6556499540457 -4956.287673191806 1578.5621675182904 69563455.73224783 858.743542754362 -253462226612.83493 -190997982491.16214 -1696917637.5552113 20745.647801729152 -38563.358486960795 -737.7799980960344
0.0 11902170.214324951 4762815.214637756 5631801.620964408 1721.5114288250882 1791.4186538166978 511.5656041126889 68843466.23462994 885.3219517628667 -283077230819.2602 -150880911970.41928 -548082148.6371906 13892.918806792477 -41101.67732033208 -739.2510084250433
0.0 149123398192.77127 153138776874.3361 4110076816.752788 -2827.3608489219114 30050.95047172204 563.4691084421837 59457806.98318769 816.3476507650353 16680056047.085785 -267432419874.36725 -1349039689.1448252 36420.8513604106 16384.50903953655 -748.4666262385487
0.0 1816665.680847168 5021755.657543182 -174970.82621133327 1764.2558284461913 1779.5657961810793 586.490507627865 59257653.30309582 862.0100983175333 -323681721302.401 -174427502730.944 4726456525.702656 30718.91143368338 -38160.25364993095 -479.84527459344145
