Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
1.0 -10216310.508300781 -2297171.445793152 4272749.654659271 -142.53988301761183 1094.894207508365 466.6684675630397 66023561.99533666 843.7861523533785 -186401991292.80463 -315980448538.07776 -2319858997.5836563 44740.172253646924 -27734.991488064432 -3597.1281257738074
0.0 -120100815949.15851 168793610152.56976 -5263343450.541134 -7359.24524149438 9198.04855834589 203.63239345728118 41062612.244210005 791.5442475249862 -287338642434.65466 -136238273274.69046 -286477988.019045 15581.815363739253 -39644.394457386625 -43.03103089978401
0.0 11088510.753921509 2572485.9113464355 8897067.32443142 -3498.957152500494 7560.732375829451 918.2216113507955 41024673.61562479 812.5488084778884 -291109994151.90216 -12552526666.384659 2072131856.7564406 -8548.573617250093 -32417.73411540904 -1294.2591687673853
0.0 -247421308879.15176 77106507294.67589 14037087751.22249 -13484.177193516365 2019.441862449523 -473.4055381752545 44729606.77676663 804.201925550332 -135701855638.77893 -254610558927.8642 -4759264317.300633 34355.886893832365 -20550.595531686606 -642.3472856987204
0.0 -10025199.686157227 12489774.185501099 2241230.0514302254 -6896.608094378462 8242.361413782319 -518.4107088587327 44596687.094125494 814.9879358819205 -227544565878.1952 -60768694836.4955 -454674299.16216236 -4888.832709597584 -24120.69764227737 627.0164057159423
0.0 -915606528.3858337 154162896777.01422 3979846489.472884 -469.88047227105017 9909.046356989646 -493.859114591144 36260016.5966174 797.7687014479686 -358672621940.96014 12621101385.4738 4210979255.563944 -4588.0026997684145 -46987.67959166566 937.8746506853322
0.0 15037997.628204346 -7064657.526519775 8561956.035720348 -153.1892396148578 6501.45073959487 177.74251965191382 36401321.10580739 805.6787174421006 -310226611150.5292 125635745307.95718 5775688729.150773 -23365.577583339636 -32768.89539795344 720.8297940106866
0.0 -308403303448.71295 73764683902.15157 -12658861136.925327 -21195.544925630296 -4864.831673633482 659.3228987037678 70159627.88989961 867.2953268367796 66565881066.310745 287821404203.05835 -308579802.85606134 -39264.86493643315 7021.65367249116 40.022722327075584
0.0 552999.881652832 1019170.1080780029 -8573519.257819176 -4739.797508116524 -1403.3017014811594 4560.755220033139 70179694.63223344 889.3398074367335 97894924326.45111 284364283105.15564 -900131831.9831527 -45370.83397391839 3673.58758594722 -5616.459587529498
0.0 113178074686.57289 -35864406527.569595 -7173137758.29677 15021.72315359291 1453.870983746685 1002.7947661122961 68411617.77206217 865.1354257283089 -247381783437.31555 -280734940813.5873 -773309243.4075339 39387.432654381795 -36342.42739640424 -595.715999056898
1.0 2634326.2526245117 -588696.380355835 -2808582.685757637 147.32177090119194 862.8924855782134 -364.909194514062 67614689.96193308 867.2709654699622 -227183349316.6518 -300870080088.20416 -838308919.3221062 43089.69073626914 -31749.68961314336 491.95281482362714
0.0 140003306148.90173 3192312151.356659 7361848455.172652 13346.471527401955 5588.205001024708 -446.85183032362977 59199546.995566234 848.2166946035284 110628487665.26425 -280407654103.7952 -3989956734.724165 39012.2750796607 19123.100284059095 646.8948970202314
0.0 2233937.7435150146 11152199.42602539 -11574472.89913559 1466.1217218057027 3590.1653324402705 -6627.385726228219 58815632.74547773 859.2469901366394 101778479676.59207 -279507983024.6837 -3758911194.550079 35584.26678251804 25849.295901240992 8551.432185585209
0.0 66637992783.5419 13549175897.761856 -4184203480.0794997 8142.925744579996 4449.7424918116485 -65.3832078559538 68205245.49763408 855.5358205041122 -112720230208.0603 -333878631552.56067 -4080879830.764748 49018.117377493516 -18448.75613473399 -1682.2644900056946
1.0 14650797.434417725 3006723.9752464294 -12059810.938549995 -299.8016809180208 1094.6872390655226 -295.6247460182351 67614566.21581441 873.3336656095805 -191692333559.70966 -297451163663.3123 -2749069600.2765155 41056.07382173639 -30402.606630527174 -2340.1534545418235
0.0 -102002464341.42123 -19304540709.70752 -3416445173.9006615 -4673.549014081347 7711.692682824934 -1142.307009612634 76965230.50571968 886.2133739366415 299430743632.6821 -56322575706.18184 -3819414031.4216423 10573.311595189793 44423.05636475839 -746.2770712846157
1.0 -7681491.7732925415 -3651128.553894043 -4187604.463716507 -838.4900046495277 -178.27375368772982 -215.7313047066009 76356853.69209825 893.6199725090086 272331338043.16254 -125876291973.37009 -4962488031.270861 23231.203526909958 37922.04384496536 -2933.297889062791
0.0 -42003375914.03668 66921222522.1967 -159356881.17564297 -8650.26856044471 9197.835747752739 499.53996989465816 76732418.37470725 806.8475613849346 244593254169.8102 -222218059120.23987 -6408613255.578887 34510.96299990153 36647.32991736507 -2123.1112409992684
0.0 2160372.899946213 -8683231.143554688 1357823.0455684662 -1105.435274680145 2472.4800140651214 896.7961137403571 76319993.62413895 834.2448307445012 231889827053.7179 -238723621861.70013 -6531712697.284972 37333.92530602696 34632.37226380533 -1910.793477719957
0.0 26864911286.2799 62616429514.72702 -6071865461.28771 2545.921166372238 9195.251666555096 -409.38591711396793 73204790.99432907 866.2310613144153 9885971042.580307 -346375395309.2705 -5667915430.329563 51969.88203964078 461.836118722591 -2415.7365957178517
0.0 1816865.2350769043 10381378.583374023 4882743.20301199 678.690072716854 2176.514799230332 137.2992131105384 73040707.82201177 857.3884655855342 51913911437.619705 -345489830041.13245 -5941367759.1958475 52751.98838656429 7244.0399731716625 -2183.666468190205
0.0 -77043664564.07224 -58769499231.0421 10083180459.830875 -3736.1673325823804 6493.626884320685 -1652.8765726178694 77467633.6569506 846.6388355326878 313752832374.7943 40560133608.675385 -2176515237.9805264 -3861.20552484524 46561.8016786058 -463.0809558411489
1.0 11090405.084777832 2035354.577331543 -5837409.7063035965 -1585.0599872558196 172.1377917140635 -195.36053132366737 77034029.56064624 839.4820133098385 315542846849.5581 6112920758.884888 -2869854738.7039332 3550.5785052442097 46559.73902165197 -2975.9100503906484
0.0 -39753708786.12503 61355452385.54286 43132258.88522625 4467.2086653398 3906.2807867174124 -681.4987985452719 73517323.5849205 854.471151906445 111902395138.00308 -287021508273.21716 -6678382849.983185 44512.61762730384 15152.619884717893 -1452.664115618873
1.0 1427139.6226501465 -2477653.588470459 6123672.80619812 -308.98158175494973 1085.9087044774715 169.54185203591118 72919973.78250863 844.6348038396112 22944092254.837296 -305060062830.3015 -6379145925.963702 45513.39780915603 -965.9833443151638 -2021.7613437175742
0.0 152886607980.78662 -21758097038.36212 -535528884.0262244 16286.621811514058 23576.415845578216 26.30941228458198 68513805.68371364 839.2456605988679 -126104455979.01392 -325215942960.31494 -3999223144.105104 47501.989790940715 -20611.163903502624 -1446.2918761378842
0.0 -10654823.234802246 5630333.205249786 -13597924.234446049 1376.5906694654059 1506.6715105782678 -640.7724927982017 67697673.80985954 869.1239787663085 -182375181953.71115 -302970936012.5807 -2928472902.013231 42127.74210930776 -28698.717568024855 -2194.4291537651425
0.0 115444505830.61234 -32698917886.073257 -6687910316.093011 18416.40438677556 11753.281253095987 265.08084757171525 72340191.27225217 842.1899921813988 -232102927800.08472 -246169289907.27814 -2204823020.2914176 33480.12852851123 -35481.28248818374 -530.7402409750887
0.0 13896592.03250122 7158080.134338379 -9386775.722886562 2509.1992560981007 930.0921958979125 -875.1015015726852 71647748.92615949 838.9032238357444 -228584303524.72644 -262141184547.60974 -2132213656.633372 36061.65168755388 -35663.019887397786 -1634.2522788519188
0.0 -19252773881.318558 89022143616.1582 3322394221.1338005 -5210.538228386975 12667.790688158231 1164.909848360686 72601186.14993161 846.1653227370696 181937771048.12515 -271931502825.47006 -6662229327.810882 42467.93074400863 26719.538356411278 -2044.3220863375634
1.0 5745421.800765991 5192485.99331665 -2541707.770637512 -474.91518272931717 646.2098284457388 702.1055831344629 72236145.95490971 874.4540745445638 141598431040.1402 -295024264819.50995 -6671572419.648966 45938.567330915765 18741.13334770625 -1854.8934255858067
0.0 126403914823.62097 15455933856.425964 12879194036.827581 11300.02688292322 3289.992830943089 -387.94651676894887 60284897.724964246 837.1931627467266 90584528086.94617 -309662658582.15234 -3947600107.9101534 43981.30425453938 15802.194129919913 837.2764786482774
0.0 -16474739.885482788 3460396.539993286 6983906.508699417 1956.0686896182124 2520.8521360519626 -6009.249974720806 60411600.703844525 879.7803713580536 -95197153111.41916 -344213890188.01575 -1374670343.3785205 50296.48903272504 -5430.267574291746 7510.148073925744
0.0 -42599245767.13016 33814637623.481445 -4043891034.7682867 -1029.2630807581118 7023.473133369451 -152.15429128306022 74657829.81403854 849.9693956158346 205206005951.02722 -226936039764.09512 -6346042138.474994 35945.16731848599 29906.558918948693 -1364.9057936939892
1.0 -1224045.865512848 408852.38302612305 -135210.10353851318 -1231.1187427131918 945.0629486491835 -285.6116592847898 73752750.82493114 851.89141755537 165675645467.9451 -264105950663.4842 -6628215022.169512 41244.71518045012 21799.63833989749 -2443.381963222654
0.0 -292490525904.6334 -20919760113.016632 8171665647.6831665 -14215.902421390445 -3795.358371666779 -100.41438075490328 46390086.76761104 814.4052367883613 -42444370383.371185 -270811427793.36743 -6131173495.165926 37837.61068930688 -7533.9146655492 -764.7365573846116
