Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 1.945612313672606888e+02 5.054411205531980896e+10 -2.208400208035443115e+10 9.897456082246925354e+09 -1.692294466512248619e+01 5.367719949870661367e+00 4.419445430639879646e+01 1.160945269807064384e+08 9.415612313672606888e+02 9.958518921169122314e+10 1.598263573928156989e-01 9.997983644606153186e-01 2.910094391360371624e+00 -5.317546094032553405e+00 -2.057076461217653751e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.090001853010460309e+01 1.337132298161523438e+10 -5.001113820820141602e+10 -9.207590946222398281e+08 8.397561099861304683e+03 1.107949505374326691e+04 -9.983256014691277187e+02 3.649657118964847922e+07 8.079000185301046031e+02 6.293850642229721069e+10 2.528160944644670949e-02 9.995324494750583710e-01 -1.432915537618760560e+00 -2.062300425393140291e+00 5.020236579062388849e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.373468910064945021e+02 -4.233750557307234955e+10 -1.663193430130957031e+10 2.189016917235884476e+10 1.554649110775426379e+01 3.326117123664755582e+01 -8.294770716500590879e+01 8.762399204962591827e+07 8.843468910064945021e+02 7.842002824959127808e+10 2.296634492005176220e-01 9.941887002231746262e-01 2.480466912514402988e+00 -3.578208661420281267e-01 5.377793301665163561e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.216729621171450617e+02 -1.746901242592689514e+10 1.301694525939857483e+10 -1.638135846057193565e+10 1.535685404588366509e+01 -7.490042620774693205e+01 1.683168602988791918e+01 8.466310239053590596e+07 8.686729621171450617e+02 6.619944777654064941e+10 7.145747731418172766e-02 9.960607286351798040e-01 -3.855579656556166857e+00 -1.831354255666987951e+00 -1.215892457470497012e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.912947201559506993e+01 -1.078407090445066071e+10 -4.775975608929589844e+10 -5.511548532556577682e+09 -1.101931581965105579e+03 7.838508313672282384e+02 -6.418626052961256391e+03 4.705739780584666878e+07 7.961294720155950699e+02 8.973691572327380371e+10 1.971904888860215310e-02 9.732807453997243119e-01 -6.795831488499792794e-01 -2.018696248375118962e+00 5.254202932971317352e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.526304598766843128e+02 -1.354611584347824097e+10 5.033160790526956177e+10 3.047608700556456757e+10 1.510781072594090801e+02 -9.329680991701025050e+00 3.663734685281919496e+02 1.254523758680971265e+08 9.996304598766843128e+02 1.097230353249728394e+11 1.974358086027530601e-01 9.910650089778028082e-01 -1.241333079163812858e+00 -2.351817369594697116e+00 -8.713840980647784562e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.178221999934239648e+02 -8.815287826916656494e+09 -9.598396756609710693e+09 2.347885873525644302e+09 -2.328575407527205243e+01 -4.522902178374715731e+01 4.757889025709437192e+01 1.189596765136402100e+08 9.648221999934239648e+02 9.932612535430294800e+10 8.342588205208428809e-02 9.995391873805183902e-01 -1.137088360577343193e+00 -2.893246777437633366e+00 1.227620134818298681e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.495571757143770810e+02 4.986309581550202942e+10 -1.543103558947747803e+10 8.282047225914851189e+09 2.258387220086806337e+02 -1.425982180462415272e+01 -2.290440804581207885e+02 1.003458445018111914e+08 8.965571757143770810e+02 4.646452913722985840e+10 4.414549018603261543e-02 9.991484221346086381e-01 -1.254732893947837269e+00 -9.637659776614948548e-01 -1.978126914214359822e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.042758999515274354e+01 -4.037262333137103271e+10 5.470405349117254639e+10 -4.918323946010515213e+09 -2.640263288545247633e+01 -2.289359526955377078e+01 -4.443297098177765747e+00 4.085126998601444811e+07 7.974275899951527435e+02 3.546141878391189575e+10 4.391763449335174818e-01 9.991215365458938624e-01 2.648088382817450182e+00 -2.958373402558856391e+00 -5.746865914618034310e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.707541657001604563e+01 -1.302871168561410522e+10 5.026279094144086456e+10 -3.800740332240729332e+09 1.447127283442750922e+02 -1.297354591235380212e+02 5.399047405394196630e+01 4.827552368967549503e+07 8.240754165700160456e+02 4.788376835228155518e+10 2.517881386377657238e-01 9.984746934087975756e-01 1.495106005619818879e+00 -3.307512313989728003e+00 -3.765981756410663905e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.763616903956725537e+02 -2.822448113737077332e+10 -7.181177386376586914e+09 1.145208970067856550e+09 -3.634670683928052313e+02 2.716030539820239937e+02 -7.364652372053744784e+02 7.637659251448886096e+07 9.233616903956725537e+02 7.465779075455291748e+10 1.570783210653551032e-01 9.994773423710560101e-01 -1.731550962371322999e+00 -4.859294934538301192e+00 -4.863285611838595202e+00 0.000000000000000000e+00
