Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 2.862505635413946533e+10 4.620624291449699402e+10 1.125415087141053581e+10 -2.332169106938139521e+03 -1.718566958589428395e+03 5.745406623358864636e+03 5.180060535059922934e+07 8.230962077119514788e+02 6.526816948885699463e+10 2.011199295845381707e-01 9.801710348296143183e-01 -1.282565733978276334e+00 -2.790638744138286054e+00 -4.920306327696559734e-01 0.000000000000000000e+00
0.000000000000000000e+00 -1.801060447109610596e+11 -3.008299266590709229e+11 1.126573077682328987e+10 4.867709282474747306e+04 -1.843525382505040398e+04 -1.042687153912946997e+03 3.055074793205530941e+07 7.915598341639938553e+02 8.079923638564340210e+10 7.224701536526151324e-02 9.989934728404183950e-01 4.531450595140709137e-01 -1.914257377391239467e+00 2.530855216778277850e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.574507951343576050e+10 2.545361910349606934e+11 5.484375515204283714e+09 -3.335886995082563953e+04 -1.209991215495465440e+02 7.030493091743257992e+02 6.864315155755133927e+07 8.458021973334992936e+02 5.650804829672125244e+10 6.144002354112026998e-03 9.996631665756723351e-01 9.175442831652060871e-01 -1.481509556018830276e+00 -1.535120583246795789e+00 0.000000000000000000e+00
0.000000000000000000e+00 -2.952151369038605347e+11 -2.500894235801764526e+11 7.238127449699893188e+10 4.311750347425988002e+04 -3.276626877049183531e+04 -4.870319555104127176e+03 2.265042924814146012e+07 7.794881298961067841e+02 1.412687705375954590e+11 1.689763859947803759e-01 9.624165662920993736e-01 -1.167819716341331748e-01 -2.855746880791807385e+00 -3.340456064774229628e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.478168517546730957e+11 9.288618218776785278e+10 1.658345154670482635e+10 -2.851825876033091845e+04 8.059041315291437058e+03 7.388625279711241092e+02 4.330671234647786617e+07 8.086701280426659650e+02 1.439822023708194275e+11 1.399848538191569847e-01 9.978963357536493328e-01 -1.558444966087250805e+00 -5.874573198054508616e+00 2.390091546876592421e+00 0.000000000000000000e+00
0.000000000000000000e+00 -9.410666675005514526e+10 -4.624100561989436035e+11 4.686820117325222778e+10 4.763815177432535711e+04 -4.299120936551129489e+03 3.452251521768354223e+02 4.497383588213645667e+07 8.147278917540446628e+02 1.441701860044689941e+11 2.577206575694612756e-01 9.888550970930921613e-01 -2.964341980953014932e+00 -1.870040163040101122e+00 1.996442002159243501e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.098954523164627686e+11 1.050983164231310120e+11 2.171300852425236702e+09 -1.050258099873752872e+04 4.128466915947684174e+04 5.592137252046791218e+02 5.137835908053736389e+07 8.095230195359531535e+02 5.799506960086737061e+10 1.385124912006221176e-01 9.999961145243194682e-01 3.469166795557973693e+00 2.245130749018537042e+00 -5.514072541390586224e+00 0.000000000000000000e+00
0.000000000000000000e+00 -3.650482628490170898e+11 1.136886105849253693e+11 -1.192511062884438515e+10 -2.245181289876243682e+04 -3.761815394294816360e+04 7.447104437608786611e+02 1.920074191869815439e+07 7.689481780289572725e+02 3.494351254197155762e+10 3.786497785752341860e-01 9.976685853651416913e-01 5.083444243571683785e+00 -4.071771510191162236e-01 -4.512947193583283223e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.084426870536828613e+10 -4.118560803347381592e+09 -1.241873949485680389e+10 8.541967426123101177e+03 1.147309206445756536e+04 2.178121413980855777e+03 6.532295940652684867e+07 8.356180420386009473e+02 5.513471270980514526e+10 8.713621156358682118e-02 9.983908863954197299e-01 -4.786430717356582321e-02 -1.318494664185100973e+00 -2.386250156129472444e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.223816778715097046e+10 2.426689442215725708e+11 6.792976339135418701e+10 -1.940232922315791802e+04 2.126128087097882235e+04 1.953364808810679506e+03 4.577236826758807898e+07 8.218431910120121984e+02 9.614024633346743774e+10 9.056478819572741368e-02 9.649849747935812516e-01 -9.492037991112023398e-01 -2.089465599738614898e+00 -4.190590762082961440e+00 0.000000000000000000e+00
